epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
104,31012.3,0.80774,1.73928,0.90178,1.1321,0,0.74883,0.68689,0.72536,0.54802,0.74465,0.68605,0.71791,0.48962,0.85746,1.91395,0.98308,1.04962,0,0.000122888,0.000122888,0.000122888
105,31307.7,0.80526,1.73964,0.89027,1.13009,0,0.73708,0.68606,0.72269,0.54942,0.73944,0.69102,0.71938,0.49038,0.86345,1.91872,0.98582,1.05605,0,0.000117605,0.000117605,0.000117605
106,31607,0.80739,1.7346,0.89492,1.13065,0,0.7516,0.67698,0.72553,0.54929,0.75339,0.67766,0.72145,0.49092,0.8595,1.91522,0.97798,1.0531,0,0.000112323,0.000112323,0.000112323
107,31942.8,0.79947,1.72381,0.89246,1.12592,0,0.72675,0.68733,0.72309,0.54928,0.7314,0.69924,0.71874,0.48929,0.85854,1.9235,0.9863,1.05069,0,0.00010704,0.00010704,0.00010704
108,32302.1,0.80946,1.7296,0.89521,1.13228,0,0.73045,0.68767,0.72416,0.54734,0.73437,0.6905,0.71713,0.48795,0.85977,1.93757,0.98896,1.05274,0,0.000101758,0.000101758,0.000101758
109,32716.1,0.80306,1.71103,0.88418,1.12761,0,0.74028,0.67991,0.72406,0.54884,0.74126,0.69136,0.72139,0.49205,0.85253,1.91837,0.97816,1.04847,0,9.64749e-05,9.64749e-05,9.64749e-05
110,33096.8,0.79591,1.71623,0.88149,1.12141,0,0.74277,0.68486,0.7242,0.55035,0.74427,0.6878,0.71947,0.49099,0.84921,1.93284,0.97649,1.04714,0,9.11922e-05,9.11922e-05,9.11922e-05
111,33509.5,0.80101,1.72848,0.88854,1.12707,0,0.72005,0.69867,0.72046,0.54492,0.72023,0.69902,0.71503,0.48813,0.8553,1.91999,0.98031,1.05084,0,8.59096e-05,8.59096e-05,8.59096e-05
112,33911.8,0.79489,1.7159,0.87883,1.12043,0,0.74233,0.68169,0.72244,0.5472,0.72945,0.68616,0.71506,0.48942,0.85287,1.91127,0.97534,1.05005,0,8.0627e-05,8.0627e-05,8.0627e-05
113,34151.5,0.79349,1.70798,0.87539,1.12441,0,0.74678,0.68511,0.72274,0.54784,0.74763,0.68972,0.72068,0.49151,0.85364,1.9197,0.97541,1.05065,0,7.53443e-05,7.53443e-05,7.53443e-05
114,34269.4,0.7999,1.71134,0.87686,1.12037,0,0.73492,0.68952,0.7202,0.54631,0.73226,0.68886,0.71632,0.48958,0.85515,1.9181,0.98304,1.05075,0,7.00617e-05,7.00617e-05,7.00617e-05
115,34388.6,0.79407,1.7086,0.87492,1.12251,0,0.74519,0.68249,0.7163,0.54254,0.74731,0.68427,0.71442,0.48688,0.85535,1.91715,0.98556,1.05144,0,6.4779e-05,6.4779e-05,6.4779e-05
